"video","q1","q2","q5","q6","q7","q8","q11","q12","q13","q14","ppgender","ppage","ppeth","ppeducat"
2,1,-2,2,3,3,6,3,3,2,3,2,79,1,2
4,3,2,4,5,2,4,4,2,2,4,1,80,1,3
3,5,2,5,2,4,6,4,2,2,4,1,18,1,4
3,5,3,8,5,5,6,4,6,3,4,1,29,1,3
4,2,-2,6,2,4,2,2,1,2,3,1,36,1,3
1,5,3,4,3,4,3,2,2,2,3,2,63,1,1
4,1,-2,4,5,3,2,1,2,3,4,2,65,1,3
1,1,-2,2,4,3,4,2,4,1,2,2,70,1,3
2,3,1,2,5,2,1,3,2,3,3,1,54,1,1
2,1,-2,4,3,3,3,3,2,2,3,1,62,1,3
2,2,-2,6,1,4,1,3,1,2,3,1,68,1,2
3,2,-2,4,4,4,5,1,2,2,3,2,60,1,2
3,3,3,2,3,4,5,3,5,2,2,1,51,1,3
2,5,3,8,4,-1,6,4,6,3,2,1,21,1,2
4,3,3,4,3,2,4,1,2,2,3,1,52,1,3
2,5,3,8,2,3,5,3,1,2,3,2,49,1,4
1,1,-2,4,1,3,1,3,1,2,3,1,83,1,2
3,2,-2,4,3,3,2,1,4,2,3,2,51,1,4
2,3,2,5,4,4,2,4,2,2,3,1,62,1,2
1,2,-2,7,2,2,5,2,6,2,3,2,42,1,2
3,3,1,5,2,3,3,3,3,2,3,1,49,1,2
1,5,3,8,5,5,3,4,6,2,3,2,45,1,2
2,2,-2,6,2,4,3,1,1,2,3,1,75,1,3
4,2,-2,6,1,4,1,1,1,2,3,1,44,1,2
2,1,-2,4,3,2,2,3,4,1,1,1,62,1,4
1,3,3,4,2,4,4,3,3,2,3,1,41,1,2
3,1,-2,8,3,4,5,3,1,1,2,2,64,1,1
3,3,3,4,2,3,3,2,2,2,3,1,27,1,2
1,3,3,4,2,4,2,3,2,2,3,1,65,1,4
4,2,-2,7,4,4,1,1,1,3,3,1,41,1,4
1,3,1,2,4,2,5,3,5,1,2,1,86,1,4
4,5,3,8,5,5,6,4,6,3,4,2,61,1,3
4,5,3,8,5,5,3,3,3,1,3,2,53,1,1
1,3,2,5,2,3,4,3,1,1,3,1,32,1,3
2,5,3,4,3,2,3,2,1,3,4,1,51,1,2
2,1,-2,3,5,3,3,2,4,3,2,1,46,1,3
3,3,1,4,3,2,3,3,3,2,1,1,45,1,4
2,1,-2,2,3,1,3,3,2,1,2,1,41,1,4
4,2,-2,5,1,4,3,1,1,2,3,1,43,1,3
4,1,-2,6,1,4,2,2,2,2,3,2,50,1,2
4,2,-2,6,4,4,1,1,1,2,3,2,36,1,4
2,5,3,8,5,4,1,4,2,2,3,1,32,1,3
4,1,-2,5,3,4,3,2,2,3,2,2,68,1,1
4,4,2,5,1,3,3,2,1,2,3,1,64,1,4
3,1,-2,3,2,3,5,2,2,2,3,1,80,1,3
4,1,-2,2,2,2,3,2,4,3,2,2,84,1,2
4,5,3,6,2,4,6,2,2,2,3,2,43,1,2
1,4,3,1,4,4,1,3,5,2,4,2,46,1,1
4,2,-2,4,3,2,3,2,4,2,2,1,51,1,4
3,1,-2,4,2,3,1,2,2,2,3,2,66,1,3
2,5,3,4,4,2,5,4,2,1,2,2,27,1,2
3,2,-2,4,3,2,3,2,1,2,3,1,41,1,3
3,4,3,4,3,2,2,1,1,3,3,1,53,1,4
1,1,-2,4,4,4,5,3,3,2,4,2,36,1,4
3,3,3,5,2,3,4,1,2,3,3,1,60,1,4
1,1,-2,3,2,3,1,1,4,3,3,2,82,1,2
4,1,-2,3,2,3,1,1,2,2,3,2,30,1,3
2,4,3,8,4,2,6,4,6,1,4,1,25,1,1
4,5,3,8,5,5,5,3,3,2,3,1,53,1,2
4,2,-2,5,2,2,3,2,2,2,3,1,18,1,3
1,3,2,4,1,4,1,1,1,2,3,2,41,1,2
4,2,-2,6,2,3,4,1,1,2,3,1,64,1,4
3,3,1,4,3,2,1,3,4,3,1,2,50,1,2
1,1,-2,4,1,4,1,2,1,2,3,1,52,1,2
1,2,-2,6,3,3,4,3,2,2,3,1,49,1,3
2,3,3,4,5,4,1,4,2,3,3,2,44,1,2
1,1,-2,2,4,2,4,2,3,1,2,1,20,1,3
4,5,3,8,4,3,3,4,2,3,4,1,24,1,2
4,1,-2,3,2,4,1,2,1,2,3,1,45,1,3
2,5,3,6,3,4,5,3,2,2,3,1,46,1,2
3,5,1,8,1,4,6,3,3,3,4,2,43,1,2
4,2,-2,5,2,2,2,2,3,2,3,2,26,1,4
2,5,3,2,5,4,6,4,6,2,3,1,34,1,3
1,2,-2,3,2,3,3,1,2,2,3,1,44,1,3
1,1,-2,4,3,2,3,4,6,2,3,2,29,1,4
2,5,3,4,3,2,2,2,2,1,2,2,28,1,3
1,2,-2,6,2,2,5,1,1,2,3,2,41,1,2
2,1,-2,4,2,2,2,2,1,1,2,2,51,1,2
3,2,-2,4,2,3,3,2,1,2,3,2,45,1,2
4,1,-2,4,4,2,4,3,5,2,3,2,73,1,3
3,3,1,2,1,3,3,2,2,2,3,1,42,1,3
3,2,-2,6,1,4,1,1,2,2,3,2,22,1,4
2,1,-2,4,5,2,3,2,3,3,3,2,45,1,3
4,1,-2,6,1,3,3,3,2,2,3,2,70,1,2
1,3,1,4,1,4,3,2,1,2,3,2,66,1,2
4,1,-2,3,4,4,1,2,2,3,3,2,36,1,4
3,1,-2,3,2,2,3,2,3,3,2,1,47,1,4
4,1,-2,3,1,3,3,2,2,2,3,1,79,1,2
4,1,-2,2,4,2,1,2,2,1,2,2,60,1,4
1,1,-2,4,1,4,1,3,1,2,3,1,59,1,4
2,1,-2,4,2,2,1,1,1,2,3,2,63,1,2
4,5,3,5,4,3,2,4,2,3,4,1,39,1,3
1,1,-2,5,5,4,1,4,1,2,3,2,49,1,2
3,2,-2,5,2,2,1,2,2,2,3,2,74,1,4
2,1,-2,8,2,3,2,4,1,2,3,2,53,1,2
4,2,-2,4,5,5,6,4,2,3,4,1,39,1,1
4,1,-2,4,3,3,2,2,2,2,2,2,42,1,2
4,2,-2,6,2,1,1,2,1,2,3,2,55,1,3
2,1,-2,3,3,3,4,3,4,1,2,1,65,1,1
4,2,-2,5,2,3,2,1,1,2,3,2,25,1,3
2,2,-2,4,2,2,2,3,1,2,2,1,48,1,4
2,3,3,2,1,4,1,3,1,2,3,1,44,1,2
1,5,3,4,3,4,6,4,2,3,2,2,43,1,1
2,3,1,5,5,3,1,2,3,2,3,2,76,1,2
3,1,-2,2,5,5,6,2,6,3,3,2,75,1,2
1,2,-2,6,2,2,2,2,2,2,4,2,42,1,2
1,1,-2,4,2,3,3,3,4,3,4,2,53,1,3
1,4,3,8,5,5,6,4,6,3,4,2,23,1,2
3,1,-2,4,2,3,6,2,2,3,3,2,75,1,1
3,3,1,4,2,3,2,3,2,2,4,2,59,1,2
3,2,-2,6,3,2,4,1,4,2,3,2,60,1,3
3,3,1,4,2,4,1,3,1,2,3,1,70,1,3
2,5,1,5,3,4,3,3,2,2,2,1,45,1,3
1,2,-2,6,1,4,3,4,1,2,3,2,40,1,3
1,1,-2,4,3,3,1,4,2,2,3,1,39,1,2
2,2,-2,5,1,4,4,2,1,2,2,1,41,1,2
2,2,-2,4,1,4,4,1,1,2,3,1,68,1,2
2,5,3,5,2,3,1,1,1,2,3,2,45,1,2
1,2,-2,3,3,1,3,1,2,2,3,2,80,1,4
3,3,3,4,2,4,1,2,2,2,3,1,37,1,2
3,3,1,8,1,3,1,3,1,2,2,1,57,1,2
3,1,-2,4,2,4,3,2,3,2,3,1,66,1,2
1,1,-2,4,1,4,1,2,1,2,3,2,42,1,3
2,3,1,8,2,4,4,4,4,2,3,2,56,1,3
2,2,-2,6,5,2,6,4,2,2,4,1,83,1,2
1,1,-2,4,1,3,1,1,1,2,3,2,59,1,1
1,2,-2,6,5,4,2,1,2,2,3,2,34,1,4
4,1,-2,6,2,3,3,4,1,2,3,1,60,1,1
2,2,-2,5,3,3,3,4,6,3,4,1,51,1,2
1,1,-2,1,4,1,1,3,2,2,3,1,71,1,1
2,1,-2,1,4,4,5,3,4,1,1,1,59,1,3
1,1,-2,3,4,2,1,3,4,1,2,1,27,1,4
4,2,-2,4,2,2,2,3,3,3,3,1,52,1,2
2,1,-2,2,3,4,6,2,3,3,4,1,21,1,3
4,2,-2,6,1,4,1,1,1,2,3,2,70,1,2
1,5,3,8,1,4,1,4,6,2,3,1,38,1,2
1,3,2,4,5,4,3,2,3,1,2,2,19,1,1
4,5,3,5,2,3,1,2,2,2,3,1,72,1,4
2,1,-2,4,1,3,1,2,1,2,3,1,30,1,4
4,2,-2,4,2,3,2,2,1,2,2,1,43,1,4
2,2,-2,6,2,2,4,1,2,2,3,1,54,1,4
2,5,3,8,1,3,6,3,1,2,3,2,39,1,3
1,1,-2,5,3,3,3,1,2,2,3,1,72,1,4
3,1,-2,4,1,4,1,2,1,2,3,1,41,1,3
4,2,-2,4,4,3,5,3,2,3,3,1,47,1,1
3,1,-2,5,2,4,3,1,6,2,3,1,44,1,4
4,1,-2,4,3,5,3,4,4,3,3,2,69,1,3
2,1,-2,4,3,2,2,3,1,2,2,2,48,1,3
4,1,-2,3,2,2,3,1,1,2,2,1,49,1,2
1,3,1,4,2,3,3,2,2,2,2,2,67,1,3
1,5,3,4,3,4,3,3,3,3,2,1,44,1,3
2,3,1,4,2,1,1,1,1,3,2,2,62,1,4
4,2,-2,3,1,4,5,1,5,2,3,1,24,1,3
4,5,2,1,1,4,1,2,2,2,2,2,28,1,2
3,1,-2,4,2,3,2,2,1,2,3,1,62,1,2
2,2,-2,6,3,3,1,1,1,2,3,1,49,1,4
1,2,-2,6,1,4,2,1,1,2,3,1,38,1,3
4,5,1,4,3,3,2,1,1,2,3,1,51,1,3
1,1,-2,4,2,4,1,1,1,2,3,1,41,1,2
1,5,3,8,3,4,6,4,6,2,3,2,31,1,2
2,1,-2,5,2,2,1,2,2,2,3,1,71,1,2
4,3,3,4,1,4,4,2,4,2,3,2,55,1,2
1,2,-2,5,2,3,5,3,2,2,3,1,56,1,4
1,1,-2,4,5,2,6,3,2,2,2,2,69,1,1
4,3,3,4,3,3,6,1,4,3,3,2,50,1,3
4,2,-2,4,2,4,1,2,2,2,3,2,70,1,2
2,1,-2,5,2,2,2,3,2,2,3,2,81,1,1
3,5,1,8,1,3,2,4,1,2,2,1,38,1,3
4,2,-2,5,5,4,1,1,1,2,2,1,29,1,4
2,1,-2,8,5,5,6,3,3,2,2,1,74,1,1
3,2,-2,6,3,2,2,2,2,2,3,2,32,1,4
4,3,3,4,1,4,2,3,1,2,3,1,43,1,3
3,3,3,4,2,4,2,2,2,2,3,2,64,1,2
3,1,-2,4,2,2,4,2,4,2,2,1,69,1,1
4,3,2,5,3,3,2,2,5,2,3,2,72,1,3
3,3,1,5,2,2,4,1,1,2,2,1,44,1,2
3,5,3,8,5,5,6,4,6,3,4,1,25,1,2
1,2,-2,7,3,4,3,4,2,-1,3,2,30,1,4
2,2,-2,4,2,4,1,4,4,2,3,2,39,1,2
3,2,-2,4,3,3,3,3,2,3,2,1,60,1,3
4,1,-2,4,3,2,4,3,2,3,4,1,52,1,3
4,3,2,3,2,4,2,4,2,2,2,1,29,1,2
1,5,3,4,5,4,4,2,1,2,3,2,51,1,3
1,5,3,8,5,2,6,4,6,3,1,1,20,1,1
2,3,3,7,1,2,3,-1,1,2,3,2,82,1,4
4,3,1,8,1,4,4,2,1,2,3,2,60,1,2
2,3,3,4,4,2,3,2,1,3,2,2,47,1,3
2,4,3,4,5,5,3,4,3,3,4,2,34,1,3
3,3,1,8,2,3,1,2,1,2,3,2,51,1,1
2,2,-2,4,3,4,2,2,2,2,3,1,37,1,4
1,5,3,8,2,5,3,4,6,3,4,1,22,1,2
3,5,3,3,4,4,3,2,2,2,3,2,46,1,4
1,1,-2,4,4,3,1,3,2,3,4,1,54,1,4
4,2,-2,5,1,4,1,2,1,2,3,1,39,1,3
3,1,-2,2,4,3,4,3,5,1,3,1,58,1,2
4,2,-2,8,2,3,3,4,2,3,4,2,33,1,3
3,1,-2,5,2,3,2,2,1,2,3,2,52,1,2
1,2,-2,6,1,3,2,2,1,2,3,1,72,1,2
4,5,3,8,5,5,6,4,6,3,4,2,43,1,1
1,1,-2,2,3,3,4,3,4,3,3,1,49,1,3
4,5,3,8,1,4,1,1,1,2,3,2,46,1,4
3,2,-2,4,2,3,2,3,2,2,4,2,42,1,3
3,1,-2,2,3,4,3,3,3,2,3,2,53,1,3
3,1,-2,1,4,1,5,3,4,1,2,1,62,1,4
1,1,-2,8,5,5,6,4,6,3,4,2,40,1,2
4,2,-2,5,2,2,2,4,2,2,3,2,45,1,2
4,2,-2,8,5,5,3,4,2,2,4,1,56,1,4
2,2,-2,6,4,5,2,2,2,3,3,2,59,1,2
2,3,1,4,2,2,2,3,2,2,2,1,77,1,3
4,1,-2,3,3,3,3,2,3,2,2,1,56,1,3
3,2,-2,5,2,2,2,1,1,2,3,1,41,1,4
4,1,-2,4,2,3,2,3,3,3,4,2,55,1,4
2,2,-2,8,3,3,3,2,1,2,3,1,27,1,3
2,3,2,5,5,3,6,2,2,2,3,2,19,1,3
3,1,-2,4,4,1,4,1,2,1,3,1,53,1,4
1,1,-2,4,3,3,4,3,2,1,2,2,48,1,3
2,3,2,6,2,4,3,3,2,2,3,1,61,1,3
4,2,-2,5,2,3,3,1,2,2,3,1,90,1,3
3,1,-2,8,2,4,1,4,1,2,3,2,43,1,2
4,1,-2,3,4,3,4,3,6,3,2,2,53,1,4
4,2,-2,6,2,4,4,1,2,2,3,1,42,1,4
1,1,-2,2,2,3,1,3,1,2,2,1,79,1,3
1,2,-2,4,2,4,3,3,2,2,3,1,39,1,2
4,5,3,5,5,5,6,4,6,3,4,2,33,1,4
4,1,-2,4,2,3,4,3,2,2,3,1,30,1,2
2,3,3,8,2,1,1,4,1,2,3,1,50,1,2
2,1,-2,4,2,3,6,2,3,3,4,1,76,1,3
2,2,-2,6,2,2,2,1,1,2,3,1,37,1,4
3,2,-2,5,3,4,6,2,3,3,2,2,61,1,3
2,2,-2,4,3,2,4,3,4,2,-1,2,72,1,1
4,1,-2,8,-1,3,6,3,4,2,3,2,63,1,2
1,1,-2,8,5,2,5,4,4,3,3,2,60,1,2
4,3,3,4,5,3,1,1,2,2,3,1,64,1,3
2,3,1,1,4,1,1,3,5,1,3,2,49,1,3
4,5,3,6,2,2,6,4,1,2,4,2,30,1,2
3,5,1,4,3,2,5,2,2,2,2,1,28,1,3
4,1,-2,3,2,2,5,2,2,2,2,1,73,1,3
1,1,-2,3,4,3,3,3,4,2,3,2,32,1,4
1,2,-2,5,3,3,4,4,4,3,4,2,72,1,4
2,2,-2,5,1,4,3,1,1,2,3,2,57,1,2
2,3,1,4,3,5,3,3,3,2,4,1,64,1,3
4,2,-2,6,2,2,1,1,1,2,3,1,44,1,4
2,5,3,8,3,5,3,2,3,2,2,1,23,1,3
2,3,3,5,3,3,1,3,1,2,1,1,50,1,2
3,3,3,8,1,4,1,1,1,2,3,2,34,1,3
1,2,-2,7,1,4,4,1,1,2,3,1,73,1,3
1,2,-2,6,2,4,1,3,1,2,3,1,69,1,2
2,5,3,8,5,5,6,4,3,1,4,2,23,1,1
4,2,-2,7,4,3,5,3,4,1,2,2,71,1,2
2,1,-2,3,2,4,3,3,3,2,3,1,77,1,1
2,5,1,3,4,3,3,4,2,3,2,1,29,1,2
1,2,-2,6,2,2,3,2,1,2,3,2,69,1,2
4,5,2,5,4,4,1,3,6,2,3,1,37,1,3
4,1,-2,6,3,3,3,3,2,2,2,2,58,1,2
2,5,3,8,1,4,1,3,1,2,3,1,43,1,2
4,5,3,2,3,2,6,2,1,2,2,1,34,1,3
1,3,3,4,1,4,1,1,1,2,3,1,41,1,1
2,5,3,8,5,5,6,4,6,3,4,2,43,1,2
1,2,-2,6,1,4,5,2,1,2,1,1,39,1,3
4,3,1,4,2,2,1,2,1,2,2,1,74,1,2
3,1,-2,5,2,4,6,3,1,2,3,2,24,1,3
4,3,3,4,5,2,3,3,5,1,1,2,83,1,3
2,2,-2,7,1,4,3,2,2,2,3,1,80,1,2
4,1,-2,3,3,3,4,2,2,3,2,1,42,1,2
4,2,-2,6,3,3,3,1,2,2,3,2,35,1,4
4,2,-2,6,1,4,1,1,1,2,3,1,64,1,3
3,2,-2,4,3,2,3,4,2,3,2,2,69,1,3
1,2,-2,8,1,4,2,1,2,2,3,1,39,1,2
4,2,-2,4,3,2,2,3,2,3,2,2,33,1,3
1,2,-2,6,2,3,2,1,2,2,3,1,32,1,4
1,2,-2,4,1,4,1,2,2,3,2,1,43,1,3
1,2,-2,6,3,2,2,1,2,2,2,2,77,1,4
4,1,-2,4,4,3,1,2,1,3,3,1,79,1,4
3,1,-2,4,3,2,2,1,1,2,3,2,71,1,2
4,1,-2,4,2,4,6,3,2,2,3,1,52,1,2
3,2,-2,3,2,4,4,2,4,2,3,2,42,1,2
1,1,-2,4,3,2,2,2,2,2,2,2,26,1,1
4,1,-2,4,2,3,2,1,2,2,3,1,65,1,2
2,1,-2,3,3,2,3,3,2,3,2,2,29,1,4
2,5,3,5,2,4,3,2,2,2,3,1,46,1,1
1,2,-2,5,1,3,2,3,2,2,2,1,68,1,2
1,1,-2,2,2,3,1,2,2,3,1,1,43,1,4
4,2,-2,5,3,5,3,4,3,3,2,2,61,1,3
3,1,-2,2,4,2,3,3,5,1,2,2,32,1,4
2,3,3,4,3,3,5,3,4,3,4,1,49,1,4
4,2,-2,4,5,3,3,1,2,2,3,2,69,1,2
3,1,-2,4,2,2,6,2,2,2,2,2,32,1,2
2,1,-2,8,2,3,3,4,1,2,4,1,41,1,4
1,1,-2,4,5,5,1,4,2,2,4,2,39,1,3
2,2,-2,6,5,4,6,1,6,3,3,2,44,1,2
3,2,-2,6,2,4,1,1,1,2,3,2,82,1,3
4,3,1,2,4,2,3,2,4,3,3,2,76,1,3
4,5,3,8,5,5,6,3,6,3,2,2,23,1,3
3,2,-2,6,2,3,3,1,1,2,3,1,70,1,3
2,1,-2,4,2,5,4,2,2,2,3,2,81,1,2
4,5,1,4,2,2,2,3,2,2,2,1,47,1,1
2,2,-2,6,3,3,4,1,4,2,3,2,62,1,2
4,5,3,8,5,5,6,4,6,3,4,2,41,1,3
1,2,-2,5,3,4,2,2,3,2,3,2,70,1,3
2,2,-2,4,4,2,2,3,1,3,3,2,43,1,4
2,3,3,4,2,4,3,2,3,2,3,2,60,1,3
2,1,-2,5,4,2,2,2,1,1,2,1,46,1,2
2,1,-2,4,2,2,3,2,1,1,3,1,65,1,2
3,3,2,3,3,4,3,1,4,2,3,1,50,1,2
3,1,-2,4,1,2,1,2,1,2,2,1,65,1,2
3,3,2,4,1,3,4,2,4,2,2,1,55,1,3
2,5,3,8,1,4,3,3,4,2,4,1,36,1,2
1,4,1,3,2,3,2,4,6,2,2,1,42,1,3
3,3,2,6,1,4,2,1,1,2,3,1,48,1,3
1,1,-2,2,4,2,2,2,2,3,3,2,78,1,3
3,1,-2,4,2,3,3,2,1,2,3,1,35,1,2
3,3,1,3,3,2,4,2,2,2,3,2,32,1,4
4,2,-2,6,1,4,6,1,1,2,2,2,60,1,3
2,2,-2,4,2,3,3,2,2,2,3,2,30,1,1
1,1,-2,4,4,2,5,3,4,1,2,1,42,1,4
2,2,-2,4,2,4,1,2,2,2,3,2,50,1,3
4,2,-2,6,2,4,3,1,1,2,3,2,56,1,2
3,2,-2,5,4,2,3,4,3,2,3,2,79,1,2
1,3,3,1,4,1,6,-1,5,1,2,1,32,1,4
3,3,2,4,2,2,2,1,4,2,3,1,76,1,1
3,2,-2,6,3,2,2,1,1,3,2,1,53,1,3
2,1,-2,3,3,2,2,2,4,2,2,1,46,1,4
1,1,-2,4,2,4,1,1,1,2,3,1,34,1,2
2,3,2,4,2,3,1,1,2,2,3,2,23,1,4
1,1,-2,4,1,4,3,2,3,2,3,1,61,1,3
1,3,2,4,2,4,1,2,1,2,3,1,40,1,3
1,1,-2,8,3,4,6,2,1,2,3,2,49,1,2
2,3,1,5,3,3,3,2,2,3,2,1,62,1,2
2,1,-2,4,2,2,1,1,2,2,3,1,68,1,1
2,2,-2,6,3,3,3,1,2,3,2,1,35,1,4
3,3,1,1,4,-1,3,2,5,1,2,2,81,1,3
3,5,3,5,5,5,2,4,6,3,3,1,19,1,2
1,2,-2,8,3,2,3,1,3,3,4,2,22,1,3
3,2,-2,5,4,2,2,2,5,1,2,2,55,1,3
3,4,3,7,4,4,1,1,1,2,3,1,37,1,4
1,3,1,5,3,2,2,1,1,2,2,1,44,1,3
4,3,3,4,2,4,1,1,1,2,3,1,40,1,2
3,1,-2,6,2,2,4,2,2,1,1,2,53,1,1
2,1,-2,5,2,4,2,2,1,2,3,2,54,1,4
4,1,-2,4,2,2,3,3,2,2,3,2,61,1,3
3,5,1,5,3,3,2,2,6,2,3,1,61,1,1
4,3,3,4,4,4,6,4,4,2,3,2,47,1,3
3,2,-2,4,3,4,2,1,4,2,2,2,60,1,2
2,3,1,3,2,1,5,3,5,1,3,2,50,1,4
1,1,-2,4,1,1,1,3,5,1,2,1,41,1,4
3,3,3,4,2,4,2,3,4,2,3,2,53,1,4
4,1,-2,8,5,4,1,4,2,3,4,2,54,1,1
4,1,-2,3,2,4,2,1,2,2,3,1,62,1,3
2,2,-2,6,2,2,6,1,1,2,3,1,68,1,4
4,2,-2,4,5,2,2,4,2,2,3,1,62,1,2
1,4,3,4,3,4,5,1,1,2,3,2,66,1,2
1,2,-2,3,1,4,1,3,1,2,3,2,38,1,3
2,2,-2,6,2,2,2,1,3,2,2,2,61,1,2
3,2,-2,6,2,2,2,1,4,2,1,2,58,1,2
1,2,-2,4,3,4,1,2,2,2,3,2,48,1,3
2,2,-2,5,3,1,2,2,4,2,3,1,58,1,4
1,1,-2,4,3,2,2,3,4,3,2,2,31,1,2
4,2,-2,2,3,2,3,2,2,1,2,2,40,1,3
2,1,-2,5,3,3,2,2,2,3,2,1,53,1,2
3,2,-2,8,5,4,6,4,2,2,3,2,28,1,3
4,1,-2,4,3,2,2,3,2,1,2,2,69,1,2
4,2,-2,5,2,4,3,2,1,2,2,1,35,1,1
1,2,-2,2,1,4,1,1,1,2,3,1,34,1,2
1,2,-2,4,3,4,2,3,2,2,2,2,42,1,3
4,2,-2,6,2,2,2,1,1,1,3,1,65,1,4
1,1,-2,8,1,4,2,1,1,2,3,2,47,1,1
1,1,-2,5,2,2,2,2,1,2,2,2,70,1,2
2,5,3,8,4,5,6,4,6,3,4,1,27,1,3
3,1,-2,1,4,1,3,3,5,1,2,2,77,1,4
4,1,-2,6,4,3,4,2,3,3,3,1,49,1,3
3,5,2,6,3,4,5,3,5,3,3,2,38,1,4
2,1,-2,4,3,4,1,2,4,1,2,2,74,1,2
1,5,3,8,2,4,6,1,6,2,3,2,68,1,1
4,2,-2,6,4,2,2,4,6,3,2,2,51,1,4
2,2,-2,8,4,3,4,-1,2,2,4,2,61,1,3
4,1,-2,4,4,4,3,3,3,2,3,2,51,1,2
4,3,2,5,2,3,1,1,2,3,3,1,69,1,2
2,1,-2,5,5,4,3,4,2,3,3,1,38,1,2
2,3,2,5,4,1,4,3,4,1,3,2,53,1,3
1,2,-2,6,1,4,3,4,3,3,4,2,50,1,2
2,5,3,8,5,5,3,3,1,2,2,1,50,1,1
3,5,3,8,2,5,6,2,2,2,3,1,39,1,2
4,2,-2,4,5,4,3,1,6,2,3,1,35,1,3
1,1,-2,4,1,4,6,1,1,2,3,1,77,1,1
4,1,-2,4,1,4,1,3,2,2,4,2,55,1,2
1,3,3,4,2,5,6,4,6,2,3,1,34,1,3
2,1,-2,5,1,4,1,3,1,2,3,1,47,1,3
4,2,-2,6,1,3,2,1,1,2,2,2,18,1,1
1,2,-2,4,3,3,5,2,2,3,2,2,65,1,2
1,1,-2,4,4,3,5,2,3,1,3,2,22,1,2
4,1,-2,4,2,2,3,2,2,2,3,1,28,1,1
2,2,-2,6,2,4,3,1,2,2,3,2,24,1,2
4,5,3,8,1,4,1,1,1,2,3,1,36,1,2
4,4,2,6,2,4,3,1,1,2,2,1,39,1,4
2,3,1,4,2,3,2,2,2,1,2,1,84,1,2
1,1,-2,5,2,3,6,1,2,2,3,1,55,1,2
1,5,3,8,5,5,6,4,6,2,4,2,44,1,2
4,2,-2,7,1,4,1,1,1,2,3,2,41,1,3
3,1,-2,2,4,1,5,3,2,1,1,2,52,1,1
3,2,-2,6,4,3,1,4,1,2,2,2,57,1,3
4,2,-2,4,1,4,1,2,1,2,3,1,51,1,3
2,2,-2,6,4,3,2,1,2,1,2,2,18,1,1
4,3,2,2,5,5,6,4,2,3,3,2,73,1,2
2,2,-2,8,3,3,6,2,2,3,4,2,36,1,2
3,2,-2,6,2,3,3,1,2,2,3,1,49,1,4
4,3,1,3,3,2,4,1,2,2,2,1,40,1,4
3,1,-2,2,4,4,5,3,1,2,1,1,75,1,1
4,1,-2,2,1,4,4,3,2,2,3,2,63,1,2
3,3,2,6,4,1,6,4,4,3,4,1,48,1,1
1,1,-2,8,2,3,1,2,3,2,3,2,73,1,2
1,5,3,4,1,4,2,1,1,2,3,2,33,1,3
4,2,-2,5,2,3,1,2,2,2,3,2,49,1,2
1,2,-2,8,1,4,3,4,6,2,3,1,31,1,1
1,5,3,4,5,5,6,3,3,2,1,1,67,1,2
4,3,3,2,2,4,1,2,2,2,2,2,43,1,2
3,1,-2,3,3,2,3,3,1,1,2,2,50,1,3
4,2,-2,6,3,4,3,1,1,2,3,2,59,1,3
3,1,-2,3,4,3,5,2,1,1,2,1,39,1,3
4,2,-2,6,2,2,1,4,1,3,3,2,39,1,4
1,3,1,5,2,4,4,2,6,2,3,2,57,1,3
4,2,-2,6,1,4,3,2,1,2,2,1,42,1,3
4,1,-2,8,4,4,1,2,2,1,2,2,32,1,4
2,5,3,8,5,5,5,2,5,3,4,2,40,1,2
2,2,-2,5,1,3,3,2,1,2,3,2,60,1,3
4,1,-2,3,3,2,3,2,5,1,2,1,45,1,4
2,3,3,4,1,3,1,2,1,2,3,1,65,1,2
3,1,-2,3,2,2,2,3,4,3,2,2,42,1,3
4,3,2,7,3,3,6,4,4,1,4,1,54,1,2
1,3,2,4,3,3,1,2,1,2,2,1,48,1,3
3,3,3,4,1,4,3,3,6,2,4,2,67,1,1
1,1,-2,4,1,2,3,4,1,2,3,2,60,1,1
2,3,2,5,3,4,3,3,2,2,3,1,49,1,4
1,2,-2,4,3,3,5,3,2,2,3,1,49,1,1
3,3,3,8,1,4,3,2,1,2,3,1,38,1,1
4,5,3,2,5,5,3,4,3,3,4,1,27,1,2
4,3,3,6,3,3,6,4,3,3,3,2,54,1,2
4,1,-2,4,4,4,3,3,5,3,2,2,34,1,1
1,1,-2,3,1,4,1,3,1,2,3,2,56,1,4
1,2,-2,6,5,4,3,1,1,2,3,2,50,1,2
3,3,2,6,3,4,2,1,1,2,3,2,64,1,1
1,1,-2,4,1,4,1,1,1,2,3,2,34,1,3
3,4,1,5,2,4,3,4,2,2,2,2,59,1,2
1,1,-2,5,1,4,5,3,2,2,3,2,25,1,1
1,2,-2,5,1,3,3,1,2,2,2,1,41,1,3
4,1,-2,5,2,3,5,3,1,2,3,1,49,1,3
2,1,-2,2,2,4,1,1,1,2,3,1,34,1,3
1,3,3,5,2,4,2,2,2,2,2,2,55,1,2
1,3,3,5,2,3,3,4,1,2,2,1,52,1,2
3,1,-2,4,2,2,2,2,2,2,2,1,45,1,2
1,3,3,4,5,3,6,2,3,2,4,1,67,1,2
2,5,3,8,5,5,6,4,6,3,4,2,56,1,1
2,3,2,4,4,4,4,2,5,3,3,2,41,1,2
3,3,1,2,4,3,3,3,4,2,3,1,50,1,2
3,2,-2,8,5,4,3,2,1,2,3,2,76,1,2
4,3,1,5,2,3,3,2,2,2,2,1,78,1,2
